slug,state,type,total_cameras,data_retention_days,organization_count,receiving_organization_count,public_search_audit,data_last_updated,source
butte-county-ca-so,CA,SD,28,30,304,,True,2026-06-28T08:27:35.892Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
cabot-ar-pd,AR,PD,9,30,0,,True,2026-08-26T18:18:44.225Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
cal-maritime-ca,CA,PD,8,30,1,,False,2026-08-26T09:16:01.875Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
caldwell-id-pd-,ID,PD,89,30,19,31,False,2026-08-26T15:57:02.529Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
calistoga-ca-pd,CA,PD,6,30,369,,False,2026-08-26T21:51:15.536Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
campbell-ca-pd,CA,PD,19,30,323,,False,2026-08-26T17:44:26.527Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
capitola-ca-pd,CA,PD,10,30,7,,False,2026-08-26T23:28:43.684Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
carlisle-ia-pd,IA,PD,5,30,166,,True,2026-08-26T15:07:39.752Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
carmel-ca-pd,CA,PD,6,30,0,,True,2026-08-26T10:26:35.767Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
carolina-beach-nc-pd-,NC,PD,5,30,1429,722,True,2026-08-26T23:25:06.536Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
carroll-county-va-so,VA,SD,11,21,,,False,2026-06-01T16:47:26.112Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
carrollton-tx-pd,TX,PD,67,30,490,,False,2026-08-26T21:49:39.541Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
carson-city-nv-so,NV,SD,37,30,701,61,True,2026-08-26T10:08:29.580Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
casa-grande-az-pd,AZ,PD,93,30,,,False,2026-08-26T18:00:01.098Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
case-western-reserve-university-oh-pd,OH,PD,55,30,118,,True,2026-06-01T11:53:22.476Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
castle-hills-tx-pd,TX,PD,12,30,1233,299,True,2026-08-26T23:14:12.894Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
castle-rock-co-pd,CO,PD,,30,,,False,2026-08-26T17:47:05.448Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
catawba-nation-tribal-sc-pd-,SC,PD,9,30,1729,,True,2026-08-26T16:03:44.899Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
cathedral-city-ca-pd,CA,PD,35,30,252,,True,2026-08-26T15:01:49.837Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
cayuga-heights-village-ny-pd,NY,PD,4,30,,,False,2026-08-26T16:14:04.838Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
cedar-lake-in-pd,IN,PD,4,30,,,True,2026-08-26T09:46:07.878Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
cedar-rapids-ia-pd,IA,PD,70,30,569,,True,2026-08-26T15:58:02.847Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
celina-tx-pd-,TX,PD,47,30,1088,,False,2026-08-26T14:51:33.409Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
central-la-pd-,LA,PD,11,30,,,True,2026-08-26T15:20:39.535Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
centralia-pd-wa,WA,PD,17,21,84,,False,2026-08-26T17:21:34.557Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
chadbourn-nc-pd,NC,PD,24,30,2201,,True,2026-08-26T18:07:15.450Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
chaffee-county-co-so,CO,SD,5,30,,,False,2026-08-26T09:26:22.377Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
champaign-county-so-oh,OH,SD,0,,0,,True,2026-08-26T15:24:46.908Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
champaign-il-pd,IL,PD,85,30,2,,False,2026-08-26T17:58:23.887Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
champlin-mn-pd,MN,PD,7,30,55,,False,2026-08-26T13:09:51.451Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
chardon-oh-pd,OH,PD,7,30,301,,True,2026-06-01T13:12:16.093Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
charlottesville-va-pd,VA,PD,2,7,,,False,2026-08-26T11:26:27.569Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
chase-city-va-pd,VA,PD,1,21,,,False,2026-08-26T16:46:15.662Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
chatham-county-ga-pd,GA,PD,41,30,1655,731,True,2026-08-26T15:08:43.376Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
cheektowaga-town-ny-pd,NY,PD,30,30,171,,True,2026-08-26T23:20:28.309Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
chesapeake-va-pd-,VA,PD,68,21,,,False,2026-08-26T17:30:54.806Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
cheshire-ct-pd,CT,PD,12,30,58,,True,2026-08-26T14:32:52.896Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
chester-county-sc-so,SC,SD,48,30,1782,,True,2026-08-26T09:18:38.047Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
